sphere_D;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.044;0;0.014;0.04;1;1.0;11.0
0.046;0;0.014;0.04;1;1.0;11.0
0.048;0;0.014;0.04;1;1.0;11.0
0.05;0;0.014;0.04;2;2.0;22.0
0.052;0;0.014;0.04;3;3.0;33.0
0.054;0;0.014;0.04;4;4.0;44.0
0.056;0;0.014;0.04;5;5.0;55.0
0.058;0;0.014;0.04;7;7.0;77.0
0.06;0;0.014;0.04;7;7.0;77.0
0.062;0;0.014;0.04;7;7.0;77.0
0.064;0;0.014;0.04;8;8.0;88.0
0.066;0;0.014;0.04;9;9.0;99.0
0.068;0;0.014;0.04;10;10.0;110.0
0.07;0;0.014;0.04;11;11.0;121.0
0.072;0;0.014;0.04;12;12.0;132.0
0.074;0;0.014;0.04;14;14.0;154.0
0.076;0;0.014;0.04;15;15.0;165.0
0.078;0;0.014;0.04;16;16.0;176.0
0.08;0;0.014;0.04;17;17.0;187.0
0.082;0;0.014;0.04;19;19.0;209.0
0.084;0;0.014;0.04;20;20.0;220.0
0.086;0;0.014;0.04;21;21.0;231.0
0.088;0;0.014;0.04;23;23.0;253.0
0.09;0;0.014;0.04;24;24.0;264.0
0.092;0;0.014;0.04;26;26.0;286.0
0.094;0;0.014;0.04;27;27.0;297.0
0.096;0;0.014;0.04;29;29.0;319.0
0.098;0;0.014;0.04;30;30.0;330.0
0.1;0;0.014;0.04;31;31.0;341.0
0.102;0;0.014;0.04;33;33.0;363.0
0.104;0;0.014;0.04;37;37.0;407.0
0.106;0;0.014;0.04;38;38.0;418.0
0.108;0;0.014;0.04;40;40.0;440.0
0.11;0;0.014;0.04;41;41.0;451.0
0.112;0;0.014;0.04;43;43.0;473.0
0.114;0;0.014;0.04;44;44.0;484.0
0.116;0;0.014;0.04;46;46.0;506.0
0.118;0;0.014;0.04;48;48.0;528.0
0.12;0;0.014;0.04;50;50.0;550.0
0.122;0;0.014;0.04;54;54.0;594.0
0.124;0;0.014;0.04;59;59.0;649.0
0.126;0;0.014;0.04;66;66.0;726.0
0.128;0;0.014;0.04;72;72.0;792.0
0.13;0;0.014;0.04;77;77.0;847.0
0.132;0;0.014;0.04;82;82.0;902.0
0.134;0;0.014;0.04;88;88.0;968.0
0.136;0;0.014;0.04;96;96.0;1056.0
0.138;0;0.014;0.04;105;105.0;1155.0
0.14;0;0.014;0.04;113;113.0;1243.0
0.142;0;0.014;0.04;117;117.0;1287.0
0.144;0;0.014;0.04;123;123.0;1353.0
