N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1;1.000000000000000000000000000000;;1.0000000000000000000000000000;1.000000000000000000000000000000;1;;1;;
2;0.500000000000000000000000000000;2.000000000000000000000000000000;2.0000000000000000000000000000;0.500000000000000000000000000000;3;;2;D2;[2]
3;0.464101615137754587054892683012;1.732050807568877293527446341508;2.1547005383792515290182975610;0.646170927520417433011931705789;6;;3;D3;[2]
4;0.414213562373095048801688724210;1.414213562373095048801688724211;2.4142135623730950488016887242;0.686291501015239609586490206323;8;;4;D4;[2]
5;0.370191908158750137702237641058;1.175570504584946258337411909280;2.7013016167040798643630809941;0.685210244331082483838548913229;10;;5;D5;[2]
6;0.333333333333333333333333333333;1.000000000000000000000000000000;3.0000000000000000000000000000;0.666666666666666666666666666667;12;;6;D6;[2]
7;0.333333333333333333333333333333;1.000000000000000000000000000000;3.0000000000000000000000000000;0.777777777777777777777777777778;18;;6;D6;[2]
8;0.302593388348611302909204224934;0.867767478235116240951536665699;3.3047648709624865052411502235;0.732502069378347956850484529036;14;1;8;D7;[2]
9;0.276768653914155215717770973808;0.765366864730179543456919968060;3.6131259297527530557132863469;0.689407990105080826889492036316;16;1;9;D8;[2]
10;0.262258924190165855095630653709;0.710978235561246550830725976904;3.8130256313981243982516251560;0.687797433173831611140030771305;20;;8;D1;[2]
11;0.254854701717148909608835737700;0.684040286651337466088199229364;3.9238044001630872522327544134;0.714460108860706377135717039657;24;;8;D1;[5]
12;0.248163470571686841544054487132;0.660152734957922721675778563975;4.0296019301161834974827410413;0.739021297514213772343815403033;24;;9;D3;[10]
13;0.236067977499789696409173668731;0.618033988749894848204586834365;4.2360679774997896964091736687;0.724465170010935786722969225972;26;;9;D1;[11]
14;0.231030727971008638446179972284;0.600884161109362022629266500691;4.3284285548608366814039093675;0.747252761735398705778039925469;29;;10;D1;[3]
15;0.221172539086390937264316484926;0.567962867736951456830766814089;4.5213569647061642409073640084;0.733759380688816903352108642740;30;;10;D5;[1]
16;0.216664742924422421010647936933;0.553185219144344529899886970209;4.6154255948731939855392441620;0.751097773224096888786106263744;32;;11;D1;[3]
17;0.208679665570499743200080125264;0.527421466354574721643738409876;4.7920337483105791701491239533;0.740302447984465470514666718304;35;;10;D1;[4]
