hull_D;hull_L;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.04;0.05;0;0.014;0.04;5;5.0;55.0
0.04;0.05;1;0.014;0.025;10;10.0;70.0
0.04;0.05;2;0.0083;0.0425;17;10.625;102.0
0.04;0.05;3;0.0105;0.0445;9;10.8;108.0
0.04;0.05;5;0.026199999999999998;0.05;1;8.0;65.0
0.04;0.06;0;0.014;0.04;5;5.0;55.0
0.04;0.06;1;0.014;0.025;10;10.0;70.0
0.04;0.06;2;0.0083;0.0425;17;10.625;102.0
0.04;0.06;3;0.0105;0.0445;9;10.8;108.0
0.04;0.06;4;0.0145;0.0505;5;13.5;120.0
0.04;0.06;5;0.026199999999999998;0.05;1;8.0;65.0
0.04;0.07;0;0.014;0.04;5;5.0;55.0
0.04;0.07;1;0.014;0.025;10;10.0;70.0
0.04;0.07;2;0.0083;0.0425;17;10.625;102.0
0.04;0.07;3;0.0105;0.0445;9;10.8;108.0
0.04;0.07;4;0.0145;0.0505;5;13.5;120.0
0.04;0.07;5;0.026199999999999998;0.05;1;8.0;65.0
0.04;0.07;6;0.0342;0.0615;1;12.0;135.0
0.04;0.08;0;0.014;0.04;10;10.0;110.0
0.04;0.08;1;0.014;0.025;15;15.0;105.0
0.04;0.08;2;0.0083;0.0425;17;10.625;102.0
0.04;0.08;3;0.0105;0.0445;9;10.8;108.0
0.04;0.08;4;0.0145;0.0505;5;13.5;120.0
0.04;0.08;5;0.026199999999999998;0.05;1;8.0;65.0
0.04;0.08;6;0.0342;0.0615;1;12.0;135.0
0.04;0.09;0;0.014;0.04;10;10.0;110.0
0.04;0.09;1;0.014;0.025;15;15.0;105.0
0.04;0.09;2;0.0083;0.0425;34;21.25;204.0
0.04;0.09;3;0.0105;0.0445;18;21.6;216.0
0.04;0.09;4;0.0145;0.0505;5;13.5;120.0
0.04;0.09;5;0.026199999999999998;0.05;1;8.0;65.0
0.04;0.09;6;0.0342;0.0615;1;12.0;135.0
0.04;0.1;0;0.014;0.04;10;10.0;110.0
0.04;0.1;1;0.014;0.025;20;20.0;140.0
0.04;0.1;2;0.0083;0.0425;34;21.25;204.0
0.04;0.1;3;0.0105;0.0445;18;21.6;216.0
0.04;0.1;4;0.0145;0.0505;5;13.5;120.0
0.04;0.1;5;0.026199999999999998;0.05;2;16.0;130.0
0.04;0.1;6;0.0342;0.0615;1;12.0;135.0
0.04;0.1;7;0.033;0.091;1;26.0;255.0
0.04;0.11;0;0.014;0.04;10;10.0;110.0
0.04;0.11;1;0.014;0.025;20;20.0;140.0
0.04;0.11;2;0.0083;0.0425;34;21.25;204.0
0.04;0.11;3;0.0105;0.0445;18;21.6;216.0
0.04;0.11;4;0.0145;0.0505;10;27.0;240.0
0.04;0.11;5;0.026199999999999998;0.05;2;16.0;130.0
0.04;0.11;6;0.0342;0.0615;1;12.0;135.0
0.04;0.11;7;0.033;0.091;1;26.0;255.0
0.04;0.12;0;0.014;0.04;15;15.0;165.0
0.04;0.12;1;0.014;0.025;20;20.0;140.0
0.04;0.12;2;0.0083;0.0425;34;21.25;204.0
0.04;0.12;3;0.0105;0.0445;18;21.6;216.0
0.04;0.12;4;0.0145;0.0505;10;27.0;240.0
0.04;0.12;5;0.026199999999999998;0.05;2;16.0;130.0
0.04;0.12;6;0.0342;0.0615;1;12.0;135.0
0.04;0.12;7;0.033;0.091;1;26.0;255.0
0.04;0.13;0;0.014;0.04;15;15.0;165.0
0.04;0.13;1;0.014;0.025;25;25.0;175.0
0.04;0.13;2;0.0083;0.0425;51;31.875;306.0
0.04;0.13;3;0.0105;0.0445;18;21.6;216.0
0.04;0.13;4;0.0145;0.0505;10;27.0;240.0
0.04;0.13;5;0.026199999999999998;0.05;2;16.0;130.0
0.04;0.13;6;0.0342;0.0615;2;24.0;270.0
0.04;0.13;7;0.033;0.091;1;26.0;255.0
0.04;0.14;0;0.014;0.04;15;15.0;165.0
0.04;0.14;1;0.014;0.025;25;25.0;175.0
0.04;0.14;2;0.0083;0.0425;51;31.875;306.0
